ts,cpu_percent,memory_percent,memory_used_mb,memory_total_mb,tcp_established,bytes_sent,bytes_recv,network_usage_percent
1763322650,11.5,91.1,14861.98,16306.3,10,17909623171,45689475428,0.0
1763322651,10.8,91.1,14862.93,16306.3,10,17909629409,45689475428,0.0
1763322652,13.0,91.1,14861.05,16306.3,10,17909629515,45689475502,0.0
1763322653,10.7,91.2,14864.41,16306.3,11,17909647995,45689491280,0.0
1763322654,13.0,91.3,14890.16,16306.3,11,17909658689,45689552631,0.1
1763322655,33.3,91.6,14938.53,16306.3,11,17909826037,45693540232,3.3
1763322656,22.2,91.8,14974.4,16306.3,11,17909923906,45705192504,9.3
1763322657,24.1,92.0,14995.73,16306.3,12,17909976530,45708804978,2.9
1763322658,16.9,92.0,15003.82,16306.3,12,17909977560,45708810561,0.0
1763322659,14.3,92.0,15002.61,16306.3,12,17909977560,45708810621,0.0
1763322660,21.2,92.3,15049.79,16306.3,12,17909978959,45708813820,0.0
1763322661,24.8,92.1,15017.87,16306.3,12,17909995653,45710492017,1.3
1763322662,21.0,92.1,15023.06,16306.3,12,17910056978,45718472458,6.4
1763322663,17.1,92.1,15025.98,16306.3,12,17910057052,45718473552,0.0
1763322664,18.7,92.0,15009.63,16306.3,12,17910057242,45718475336,0.0
1763322665,12.6,92.1,15010.96,16306.3,12,17910073414,45718475818,0.0
1763322666,16.2,92.1,15025.69,16306.3,12,17910147565,45728191036,7.8
1763322667,12.3,92.2,15028.11,16306.3,12,17910150015,45728419609,0.2
1763322668,20.6,92.0,15000.6,16306.3,12,17910150121,45728419609,0.0
1763322669,14.2,92.0,15001.34,16306.3,12,17910150269,45728421007,0.0
1763322670,15.2,92.1,15010.04,16306.3,11,17910201969,45734540221,4.9
1763322671,16.0,92.2,15029.88,16306.3,11,17910235476,45738696000,3.3
1763322672,26.4,92.3,15051.0,16306.3,11,17910240089,45738752858,0.0
1763322673,22.7,92.4,15068.19,16306.3,11,17910241019,45738760407,0.0
1763322674,23.6,92.4,15074.34,16306.3,11,17910241019,45738760407,0.0
1763322675,21.5,92.5,15076.48,16306.3,11,17910254467,45738760975,0.0
1763322676,25.1,92.5,15082.57,16306.3,11,17910308917,45745400758,5.3
1763322677,26.7,92.5,15086.58,16306.3,11,17910335078,45748378136,2.4
1763322678,24.7,92.5,15086.99,16306.3,11,17910338038,45748409188,0.0
1763322680,21.3,92.6,15094.87,16306.3,11,17910344398,45748480884,0.1
1763322681,21.8,92.6,15105.06,16306.3,11,17910361450,45749679676,1.0
1763322682,31.3,92.6,15096.74,16306.3,11,17910414457,45755486987,4.6
1763322683,20.4,92.6,15098.41,16306.3,11,17910416969,45755506960,0.0
1763322684,21.0,92.6,15099.61,16306.3,11,17910418407,45755514224,0.0
1763322685,21.2,92.5,15076.08,16306.3,11,17910419591,45755520380,0.0
1763322686,23.7,92.5,15075.46,16306.3,10,17910429877,45755528421,0.0
1763322687,22.9,92.5,15075.31,16306.3,10,17910431209,45755534822,0.0
1763322688,26.1,92.3,15045.22,16306.3,10,17910482785,45761535375,4.8
1763322689,29.9,92.2,15032.0,16306.3,11,17910548498,45768780497,5.8
1763322690,27.3,92.3,15050.98,16306.3,11,17910592575,45773979021,4.1
1763322691,21.5,92.3,15048.0,16306.3,11,17910593685,45773987293,0.0
1763322692,23.8,92.3,15047.82,16306.3,11,17910598918,45774036939,0.0
1763322693,22.7,92.3,15049.79,16306.3,11,17910602385,45774067743,0.0
